distance,total_force
1641.4,2.96876
1636.76,3.02445
1632.1,3.08091
1627.43,3.13813
1622.75,3.19614
1618.07,3.25495
1613.37,3.31457
1608.66,3.37502
1603.95,3.43629
1599.22,3.49842
1594.48,3.5614
1589.74,3.62526
1584.98,3.69
1580.22,3.75564
1575.44,3.8222
1570.66,3.88968
1565.87,3.95811
1561.07,4.02749
1556.26,4.09783
1551.44,4.16917
1546.62,4.24149
1541.78,4.31484
1536.94,4.3892
1532.09,4.46462
1527.23,4.54109
1522.36,4.61863
1517.49,4.69726
1512.61,4.77699
1507.72,4.85785
1502.82,4.93984
1497.92,5.02298
1493,5.10728
1488.09,5.19278
1483.16,5.27947
1478.23,5.36738
1473.29,5.45652
1468.35,5.54692
1463.4,5.63858
1458.44,5.73152
1453.48,5.82576
1448.51,5.92133
1443.54,6.01822
1438.56,6.11647
1433.58,6.21608
1428.59,6.31708
1423.6,6.41948
1418.6,6.5233
1413.6,6.62856
1408.59,6.73527
1403.59,6.84345
1398.57,6.95311
1393.56,7.06428
1388.54,7.17697
1383.52,7.29119
1378.5,7.40696
1373.47,7.5243
1368.45,7.64322
1363.42,7.76373
1358.39,7.88586
1353.36,8.00962
1348.32,8.13501
1343.29,8.26206
1338.26,8.39078
1333.23,8.52117
1328.19,8.65326
1323.16,8.78705
1318.13,8.92255
1313.1,9.05978
1308.08,9.19874
1303.05,9.33944
1298.03,9.48189
1293.01,9.6261
1288,9.77207
1282.99,9.9198
1277.98,10.0693
1272.97,10.2206
1267.98,10.3736
1262.98,10.5284
1258,10.685
1253.02,10.8434
1248.04,11.0035
1243.08,11.1654
1238.12,11.329
1233.17,11.4943
1228.22,11.6614
1223.29,11.8302
1218.37,12.0006
1213.45,12.1728
1208.55,12.3466
1203.66,12.522
1198.78,12.699
1193.91,12.8776
1189.06,13.0577
1184.22,13.2393
1179.4,13.4224
1174.58,13.6069
1169.79,13.7928
1165.01,13.98
1160.25,14.1685
1155.5,14.3581
1150.78,14.549
1146.07,14.7409
1141.38,14.9338
1136.71,15.1276
1132.06,15.3224
1127.44,15.5179
1122.83,15.7141
1118.25,15.9108
1113.7,16.1081
1109.17,16.3057
1104.66,16.5037
1100.18,16.7018
1095.73,16.8999
1091.31,17.0979
1086.91,17.2957
1082.55,17.4932
1078.22,17.6901
1073.91,17.8864
1069.64,18.0818
1065.41,18.2763
1061.21,18.4695
1057.04,18.6615
1052.91,18.8519
1048.82,19.0406
1044.76,19.2273
1040.74,19.4119
1036.77,19.5942
1032.84,19.774
1028.94,19.9509
1025.09,20.1249
1021.29,20.2955
1017.53,20.4627
1013.82,20.6262
1010.15,20.7856
1006.54,20.9408
1002.97,21.0915
999.451,21.2374
995.985,21.3783
992.573,21.5138
989.214,21.6438
985.91,21.7678
982.662,21.8857
979.471,21.9971
976.338,22.1018
973.264,22.1995
970.25,22.2899
967.298,22.3727
964.407,22.4477
961.581,22.5145
958.818,22.573
956.121,22.6228
953.491,22.6637
950.928,22.6954
948.434,22.7176
946.008,22.7303
943.654,22.733
941.371,22.7256
939.16,22.708
937.022,22.6798
934.958,22.641
932.97,22.5913
931.057,22.5306
929.221,22.4588
927.462,22.3757
925.781,22.2813
924.18,22.1755
922.658,22.0582
921.217,21.9294
919.857,21.789
918.578,21.637
917.381,21.4735
916.268,21.2985
915.238,21.1121
914.291,20.9143
913.429,20.7053
912.652,20.4852
911.959,20.2541
911.352,20.0122
910.831,19.7597
910.395,19.4968
910.046,19.2238
909.783,18.9408
909.606,18.6483
909.516,18.3464
909.513,18.0356
909.596,17.716
909.765,17.3881
910.021,17.0522
910.364,16.7087
910.792,16.358
911.307,16.0004
911.907,15.6365
912.592,15.2665
913.363,14.891
914.218,14.5103
915.158,14.1249
916.181,13.7352
917.288,13.3417
918.478,12.9448
919.75,12.545
921.104,12.1427
922.538,11.7384
924.054,11.3324
925.649,10.9252
927.323,10.5172
929.075,10.109
930.905,9.70073
932.812,9.29297
934.794,8.88606
936.852,8.48039
938.984,8.07633
941.189,7.67422
943.466,7.27443
945.815,6.87727
948.234,6.48307
950.723,6.09213
953.281,5.70475
955.906,5.32119
958.597,4.94171
961.354,4.56657
964.176,4.196
967.061,3.83021
970.008,3.4694
973.017,3.11376
976.086,2.76346
979.215,2.41866
982.401,2.07951
985.645,1.74614
988.944,1.41865
992.299,1.09716
995.707,0.781761
999.168,0.472522
1002.68,0.169512
1006.24,-0.127212
1009.86,-0.417609
1013.52,-0.701646
1017.23,-0.979298
1020.98,-1.25056
1024.78,-1.51541
1028.63,-1.77388
1032.52,-2.02597
1036.45,-2.2717
1040.42,-2.51111
1044.43,-2.74423
1048.49,-2.9711
1052.57,-3.19178
1056.7,-3.40631
1060.87,-3.61477
1065.06,-3.81721
1069.3,-4.0137
1073.57,-4.20433
1077.87,-4.38917
1082.2,-4.56829
1086.56,-4.74179
1090.95,-4.90975
1095.37,-5.07227
1099.82,-5.22943
1104.3,-5.38132
1108.8,-5.52805
1113.33,-5.66971
1117.88,-5.80639
1122.46,-5.9382
1127.06,-6.06524
1131.69,-6.1876
1136.33,-6.30538
1141,-6.4187
1145.69,-6.52763
1150.39,-6.63229
1155.12,-6.73278
1159.86,-6.82919
1164.62,-6.92161
1169.4,-7.01016
1174.2,-7.09492
1179.01,-7.17599
1183.83,-7.25347
1188.67,-7.32745
1193.52,-7.39801
1198.39,-7.46525
1203.27,-7.52927
1208.16,-7.59015
1213.06,-7.64797
1217.97,-7.70282
1222.89,-7.75478
1227.82,-7.80394
1232.77,-7.85038
1237.72,-7.89418
1242.67,-7.93541
1247.64,-7.97415
1252.61,-8.01047
1257.59,-8.04446
1262.58,-8.07617
1267.57,-8.10569
1272.57,-8.13307
1277.57,-8.15838
1282.58,-8.18169
1287.59,-8.20307
1292.61,-8.22256
1297.62,-8.24025
1302.65,-8.25618
1307.67,-8.2704
1312.7,-8.28299
1317.73,-8.29399
1322.76,-8.30345
1327.79,-8.31143
1332.82,-8.31797
1337.85,-8.32313
1342.88,-8.32696
1347.92,-8.32949
1352.95,-8.33078
1357.98,-8.33087
1363.01,-8.32981
1368.04,-8.32762
1373.07,-8.32436
1378.09,-8.32006
1383.11,-8.31476
1388.13,-8.30849
1393.15,-8.30131
1398.17,-8.29322
1403.18,-8.28428
1408.19,-8.27452
1413.19,-8.26396
1418.19,-8.25264
1423.19,-8.24058
1428.18,-8.22782
1433.17,-8.21438
1438.16,-8.20029
1443.13,-8.18558
1448.11,-8.17028
1453.08,-8.1544
1458.04,-8.13797
1463,-8.12102
1467.95,-8.10357
1472.89,-8.08563
1477.83,-8.06724
1482.76,-8.0484
1487.69,-8.02915
1492.61,-8.00949
1497.52,-7.98945
1502.42,-7.96906
1507.32,-7.94831
1512.21,-7.92723
1517.09,-7.90584
1521.97,-7.88416
1526.84,-7.86219
1531.7,-7.83995
1536.55,-7.81746
1541.39,-7.79473
1546.23,-7.77177
1551.05,-7.7486
1555.87,-7.72523
1560.68,-7.70166
1565.48,-7.67792
1570.27,-7.65402
1575.06,-7.62996
1579.83,-7.60575
1584.6,-7.58141
1589.35,-7.55694
1594.1,-7.53235
1598.84,-7.50766
1603.56,-7.48287
1608.28,-7.45799
1612.99,-7.43303
1617.69,-7.408
1622.37,-7.38289
1627.05,-7.35773
1631.72,-7.33252
1636.38,-7.30726
1641.03,-7.28197
1645.67,-7.25664
1650.29,-7.23128
1654.91,-7.20591
1659.52,-7.18052
1664.11,-7.15512
1668.7,-7.12972
1673.27,-7.10431
1677.84,-7.07892
1682.39,-7.05353
1686.93,-7.02816
1691.46,-7.00281
1695.98,-6.97748
