distance,acceleration_a,acceleration_b,tick_index,velocity_x,velocity_y,velocity_z
1859.44,0.0283731,0.000283731,6625,-5.99783,0,4.72748
1858.24,0.0284097,0.000284097,6626,-5.98371,0,4.75214
1857.04,0.0284463,0.000284463,6627,-5.96948,0,4.77677
1855.85,0.0284828,0.000284828,6628,-5.95512,0,4.80137
1854.66,0.0285194,0.000285194,6629,-5.94065,0,4.82594
1853.47,0.0285559,0.000285559,6630,-5.92605,0,4.85048
1852.29,0.0285924,0.000285924,6631,-5.91134,0,4.875
1851.11,0.0286289,0.000286289,6632,-5.8965,0,4.89948
1849.93,0.0286654,0.000286654,6633,-5.88154,0,4.92394
1848.76,0.0287018,0.000287018,6634,-5.86646,0,4.94836
1847.59,0.0287382,0.000287382,6635,-5.85126,0,4.97275
1846.42,0.0287746,0.000287746,6636,-5.83595,0,4.99711
1845.25,0.0288109,0.000288109,6637,-5.8205,0,5.02143
1844.09,0.0288473,0.000288473,6638,-5.80494,0,5.04572
1842.93,0.0288836,0.000288836,6639,-5.78926,0,5.06997
1841.78,0.0289198,0.000289198,6640,-5.77346,0,5.09419
1840.62,0.0289561,0.000289561,6641,-5.75753,0,5.11838
1839.47,0.0289923,0.000289923,6642,-5.74148,0,5.14252
1838.33,0.0290284,0.000290284,6643,-5.72531,0,5.16663
1837.18,0.0290646,0.000290646,6644,-5.70902,0,5.1907
1836.04,0.0291006,0.000291006,6645,-5.69261,0,5.21473
1834.91,0.0291367,0.000291367,6646,-5.67607,0,5.23872
1833.78,0.0291727,0.000291727,6647,-5.65942,0,5.26267
1832.65,0.0292087,0.000292087,6648,-5.64264,0,5.28658
1831.52,0.0292446,0.000292446,6649,-5.62574,0,5.31045
1830.4,0.0292805,0.000292805,6650,-5.60872,0,5.33427
1829.28,0.0293163,0.000293163,6651,-5.59157,0,5.35805
1828.16,0.0293521,0.000293521,6652,-5.57431,0,5.38179
1827.05,0.0293879,0.000293879,6653,-5.55692,0,5.40548
1825.94,0.0294236,0.000294236,6654,-5.53941,0,5.42913
1824.84,0.0294593,0.000294593,6655,-5.52178,0,5.45273
1823.73,0.0294949,0.000294949,6656,-5.50402,0,5.47628
1822.64,0.0295304,0.000295304,6657,-5.48614,0,5.49978
1821.54,0.0295659,0.000295659,6658,-5.46814,0,5.52324
1820.45,0.0296014,0.000296014,6659,-5.45002,0,5.54665
1819.36,0.0296367,0.000296367,6660,-5.43178,0,5.57
1818.28,0.0296721,0.000296721,6661,-5.41341,0,5.59331
1817.2,0.0297074,0.000297074,6662,-5.39493,0,5.61656
1816.12,0.0297426,0.000297426,6663,-5.37632,0,5.63976
1815.05,0.0297777,0.000297777,6664,-5.35758,0,5.66291
1813.98,0.0298128,0.000298128,6665,-5.33873,0,5.686
1812.92,0.0298478,0.000298478,6666,-5.31975,0,5.70904
1811.86,0.0298828,0.000298828,6667,-5.30066,0,5.73203
1810.8,0.0299177,0.000299177,6668,-5.28144,0,5.75495
1809.75,0.0299525,0.000299525,6669,-5.26209,0,5.77782
1808.7,0.0299873,0.000299873,6670,-5.24263,0,5.80064
1807.65,0.030022,0.00030022,6671,-5.22304,0,5.82339
1806.61,0.0300566,0.000300566,6672,-5.20334,0,5.84608
1805.57,0.0300912,0.000300912,6673,-5.18351,0,5.86872
1804.54,0.0301256,0.000301256,6674,-5.16356,0,5.89129
1803.51,0.03016,0.0003016,6675,-5.14349,0,5.9138
1802.48,0.0301944,0.000301944,6676,-5.12329,0,5.93625
1801.46,0.0302286,0.000302286,6677,-5.10298,0,5.95864
1800.45,0.0302628,0.000302628,6678,-5.08254,0,5.98096
1799.43,0.0302969,0.000302969,6679,-5.06199,0,6.00321
1798.42,0.0303309,0.000303309,6680,-5.04131,0,6.02541
1797.42,0.0303648,0.000303648,6681,-5.02051,0,6.04753
1796.42,0.0303986,0.000303986,6682,-4.9996,0,6.06959
1795.42,0.0304324,0.000304324,6683,-4.97856,0,6.09158
1794.43,0.030466,0.00030466,6684,-4.9574,0,6.11349
1793.44,0.0304996,0.000304996,6685,-4.93612,0,6.13534
1792.46,0.0305331,0.000305331,6686,-4.91472,0,6.15712
1791.48,0.0305665,0.000305665,6687,-4.8932,0,6.17883
1790.51,0.0305997,0.000305997,6688,-4.87156,0,6.20047
1789.53,0.0306329,0.000306329,6689,-4.84981,0,6.22203
1788.57,0.030666,0.00030666,6690,-4.82793,0,6.24352
1787.61,0.030699,0.00030699,6691,-4.80593,0,6.26494
1786.65,0.0307319,0.000307319,6692,-4.78382,0,6.28628
1785.7,0.0307648,0.000307647,6693,-4.76158,0,6.30754
1784.75,0.0307974,0.000307975,6694,-4.73923,0,6.32873
1783.81,0.03083,0.0003083,6695,-4.71676,0,6.34983
1782.87,0.0308625,0.000308625,6696,-4.69417,0,6.37086
1781.93,0.0308949,0.000308949,6697,-4.67147,0,6.39181
1781,0.0309272,0.000309272,6698,-4.64864,0,6.41269
1780.08,0.0309594,0.000309594,6699,-4.6257,0,6.43347
1779.15,0.0309914,0.000309914,6700,-4.60264,0,6.45418
1778.24,0.0310234,0.000310234,6701,-4.57947,0,6.47481
1777.33,0.0310552,0.000310552,6702,-4.55618,0,6.49535
1776.42,0.0310869,0.000310869,6703,-4.53277,0,6.5158
1775.52,0.0311185,0.000311185,6704,-4.50925,0,6.53618
1774.62,0.03115,0.0003115,6705,-4.48561,0,6.55646
1773.73,0.0311814,0.000311814,6706,-4.46185,0,6.57666
1772.84,0.0312126,0.000312126,6707,-4.43798,0,6.59677
1771.96,0.0312437,0.000312437,6708,-4.414,0,6.6168
1771.08,0.0312747,0.000312747,6709,-4.3899,0,6.63673
1770.21,0.0313056,0.000313056,6710,-4.36569,0,6.65657
1769.34,0.0313363,0.000313363,6711,-4.34136,0,6.67633
1768.47,0.0313669,0.000313669,6712,-4.31692,0,6.69599
1767.61,0.0313974,0.000313974,6713,-4.29237,0,6.71556
1766.76,0.0314278,0.000314278,6714,-4.2677,0,6.73503
1765.91,0.031458,0.00031458,6715,-4.24292,0,6.75442
1765.07,0.0314881,0.000314881,6716,-4.21803,0,6.7737
1764.23,0.031518,0.00031518,6717,-4.19303,0,6.79289
1763.4,0.0315478,0.000315478,6718,-4.16792,0,6.81199
1762.57,0.0315775,0.000315775,6719,-4.1427,0,6.83099
1761.74,0.031607,0.00031607,6720,-4.11736,0,6.84988
1760.93,0.0316364,0.000316364,6721,-4.09192,0,6.86869
1760.11,0.0316656,0.000316656,6722,-4.06636,0,6.88739
1759.3,0.0316947,0.000316947,6723,-4.0407,0,6.90599
1758.5,0.0317237,0.000317237,6724,-4.01493,0,6.92448
1757.7,0.0317525,0.000317525,6725,-3.98905,0,6.94288
