distance,total_force
2033.99,2.41317
2032.61,2.42446
2031.22,2.43577
2029.84,2.44708
2028.46,2.45841
2027.08,2.46975
2025.69,2.48109
2024.31,2.49244
2022.93,2.50381
2021.55,2.51518
2020.17,2.52656
2018.79,2.53795
2017.41,2.54934
2016.03,2.56075
2014.65,2.57216
2013.27,2.58358
2011.89,2.595
2010.51,2.60643
2009.13,2.61787
2007.75,2.62932
2006.38,2.64077
2005,2.65222
2003.62,2.66368
2002.25,2.67515
2000.87,2.68662
1999.49,2.69809
1998.12,2.70957
1996.75,2.72106
1995.37,2.73254
1994,2.74403
1992.63,2.75552
1991.26,2.76702
1989.89,2.77851
1988.51,2.79001
1987.15,2.80151
1985.78,2.81301
1984.41,2.82452
1983.04,2.83602
1981.67,2.84752
1980.31,2.85902
1978.94,2.87053
1977.58,2.88203
1976.22,2.89353
1974.85,2.90503
1973.49,2.91652
1972.13,2.92802
1970.77,2.93951
1969.41,2.95099
1968.06,2.96248
1966.7,2.97396
1965.34,2.98544
1963.99,2.99691
1962.63,3.00837
1961.28,3.01984
1959.93,3.03129
1958.58,3.04274
1957.23,3.05418
1955.88,3.06562
1954.53,3.07705
1953.19,3.08847
1951.84,3.09988
1950.5,3.11128
1949.16,3.12267
1947.82,3.13406
1946.48,3.14543
1945.14,3.1568
1943.8,3.16815
1942.46,3.17949
1941.13,3.19082
1939.8,3.20213
1938.47,3.21344
1937.14,3.22473
1935.81,3.236
1934.48,3.24727
1933.15,3.25851
1931.83,3.26975
1930.51,3.28096
1929.18,3.29216
1927.87,3.30334
1926.55,3.31451
1925.23,3.32566
1923.92,3.33679
1922.6,3.3479
1921.29,3.35899
1919.98,3.37006
1918.67,3.38111
1917.37,3.39214
1916.06,3.40315
1914.76,3.41413
1913.46,3.4251
1912.16,3.43604
1910.86,3.44696
1909.57,3.45785
1908.27,3.46872
1906.98,3.47956
1905.69,3.49038
1904.41,3.50117
1903.12,3.51193
1901.84,3.52266
1900.56,3.53337
1899.28,3.54405
1898,3.5547
1896.72,3.56531
1895.45,3.5759
1894.18,3.58646
1892.91,3.59698
1891.64,3.60747
1890.38,3.61793
1889.12,3.62836
1887.86,3.63875
1886.6,3.6491
1885.35,3.65942
1884.09,3.66971
1882.84,3.67995
1881.59,3.69016
1880.35,3.70033
1879.1,3.71046
1877.86,3.72056
1876.63,3.73061
1875.39,3.74062
1874.16,3.75059
1872.93,3.76051
1871.7,3.7704
1870.47,3.78024
1869.25,3.79004
1868.03,3.79979
1866.81,3.80949
1865.6,3.81915
1864.38,3.82877
1863.17,3.83833
1861.97,3.84785
1860.76,3.85731
1859.56,3.86673
1858.36,3.8761
1857.17,3.88541
1855.98,3.89468
1854.79,3.90389
1853.6,3.91304
1852.41,3.92215
1851.23,3.9312
1850.06,3.94019
1848.88,3.94913
1847.71,3.958
1846.54,3.96683
