distance,acceleration_a,acceleration_b,tick_index
2261.15,0.0191872,0.000191872,7384
2262.35,0.0191667,0.000191667,7385
2263.56,0.0191463,0.000191463,7386
2264.77,0.0191259,0.000191259,7387
2265.97,0.0191056,0.000191056,7388
2267.17,0.0190854,0.000190854,7389
2268.37,0.0190652,0.000190652,7390
2269.57,0.0190451,0.000190451,7391
2270.76,0.019025,0.00019025,7392
2271.96,0.019005,0.00019005,7393
2273.15,0.0189851,0.000189851,7394
2274.34,0.0189652,0.000189652,7395
2275.53,0.0189454,0.000189454,7396
2276.71,0.0189257,0.000189257,7397
2277.9,0.018906,0.00018906,7398
2279.08,0.0188864,0.000188864,7399
2280.26,0.0188669,0.000188669,7400
2281.44,0.0188474,0.000188474,7401
2282.62,0.018828,0.00018828,7402
2283.79,0.0188086,0.000188086,7403
2284.96,0.0187893,0.000187893,7404
2286.13,0.0187701,0.000187701,7405
2287.3,0.0187509,0.000187509,7406
2288.47,0.0187318,0.000187318,7407
2289.63,0.0187128,0.000187128,7408
2290.79,0.0186938,0.000186938,7409
2291.95,0.0186749,0.000186749,7410
2293.11,0.018656,0.00018656,7411
2294.27,0.0186372,0.000186372,7412
2295.42,0.0186185,0.000186185,7413
2296.57,0.0185998,0.000185998,7414
2297.72,0.0185812,0.000185812,7415
2298.87,0.0185627,0.000185627,7416
2300.02,0.0185442,0.000185442,7417
2301.16,0.0185257,0.000185257,7418
2302.3,0.0185074,0.000185074,7419
2303.44,0.0184891,0.000184891,7420
2304.58,0.0184708,0.000184708,7421
2305.71,0.0184526,0.000184526,7422
2306.85,0.0184345,0.000184345,7423
2307.98,0.0184165,0.000184165,7424
2309.11,0.0183985,0.000183985,7425
2310.23,0.0183805,0.000183805,7426
2311.36,0.0183626,0.000183626,7427
2312.48,0.0183448,0.000183448,7428
2313.6,0.0183271,0.000183271,7429
2314.72,0.0183094,0.000183094,7430
2315.83,0.0182917,0.000182917,7431
2316.95,0.0182742,0.000182742,7432
2318.06,0.0182566,0.000182566,7433
2319.17,0.0182392,0.000182392,7434
2320.27,0.0182218,0.000182218,7435
2321.38,0.0182044,0.000182044,7436
2322.48,0.0181871,0.000181871,7437
2323.58,0.0181699,0.000181699,7438
2324.68,0.0181528,0.000181528,7439
2325.78,0.0181357,0.000181357,7440
2326.87,0.0181186,0.000181186,7441
2327.96,0.0181016,0.000181016,7442
2329.05,0.0180847,0.000180847,7443
2330.14,0.0180678,0.000180678,7444
2331.22,0.018051,0.00018051,7445
2332.31,0.0180342,0.000180342,7446
2333.39,0.0180176,0.000180176,7447
2334.46,0.0180009,0.000180009,7448
2335.54,0.0179843,0.000179843,7449
2336.61,0.0179678,0.000179678,7450
2337.68,0.0179513,0.000179513,7451
2338.75,0.0179349,0.000179349,7452
2339.82,0.0179186,0.000179186,7453
2340.89,0.0179023,0.000179023,7454
2341.95,0.0178861,0.000178861,7455
2343.01,0.0178699,0.000178699,7456
2344.06,0.0178538,0.000178538,7457
2345.12,0.0178377,0.000178377,7458
2346.17,0.0178217,0.000178217,7459
2347.22,0.0178057,0.000178057,7460
2348.27,0.0177899,0.000177899,7461
2349.32,0.017774,0.00017774,7462
2350.36,0.0177582,0.000177582,7463
2351.4,0.0177425,0.000177425,7464
2352.44,0.0177268,0.000177268,7465
2353.48,0.0177112,0.000177112,7466
2354.51,0.0176957,0.000176957,7467
2355.54,0.0176802,0.000176802,7468
2356.57,0.0176647,0.000176647,7469
2357.6,0.0176493,0.000176493,7470
2358.63,0.017634,0.00017634,7471
2359.65,0.0176187,0.000176187,7472
2360.67,0.0176035,0.000176035,7473
2361.68,0.0175884,0.000175884,7474
2362.7,0.0175732,0.000175732,7475
2363.71,0.0175582,0.000175582,7476
2364.72,0.0175432,0.000175432,7477
2365.73,0.0175282,0.000175282,7478
2366.74,0.0175133,0.000175133,7479
2367.74,0.0174985,0.000174985,7480
2368.74,0.0174837,0.000174837,7481
2369.74,0.017469,0.00017469,7482
2370.73,0.0174543,0.000174543,7483
2371.73,0.0174397,0.000174397,7484
2372.72,0.0174251,0.000174251,7485
2373.71,0.0174106,0.000174106,7486
2374.69,0.0173962,0.000173962,7487
2375.68,0.0173818,0.000173818,7488
2376.66,0.0173674,0.000173674,7489
2377.64,0.0173531,0.000173531,7490
2378.61,0.0173389,0.000173389,7491
2379.59,0.0173247,0.000173247,7492
2380.56,0.0173106,0.000173106,7493
2381.53,0.0172965,0.000172965,7494
2382.49,0.0172825,0.000172825,7495
2383.46,0.0172685,0.000172685,7496
2384.42,0.0172546,0.000172546,7497
2385.38,0.0172407,0.000172407,7498
2386.33,0.0172269,0.000172269,7499
2387.29,0.0172131,0.000172131,7500
2388.24,0.0171994,0.000171994,7501
2389.19,0.0171857,0.000171857,7502
2390.14,0.0171721,0.000171721,7503
2391.08,0.0171586,0.000171586,7504
2392.02,0.0171451,0.000171451,7505
2392.96,0.0171316,0.000171316,7506
2393.9,0.0171182,0.000171182,7507
2394.83,0.0171049,0.000171049,7508
2395.76,0.0170916,0.000170916,7509
2396.69,0.0170783,0.000170783,7510
2397.62,0.0170651,0.000170651,7511
2398.54,0.017052,0.00017052,7512
2399.46,0.0170389,0.000170389,7513
2400.38,0.0170259,0.000170259,7514
2401.29,0.0170129,0.000170129,7515
2402.21,0.017,0.00017,7516
2403.12,0.0169871,0.000169871,7517
2404.03,0.0169742,0.000169742,7518
2404.93,0.0169615,0.000169615,7519
2405.84,0.0169487,0.000169487,7520
2406.74,0.016936,0.00016936,7521
2407.63,0.0169234,0.000169234,7522
2408.53,0.0169108,0.000169108,7523
2409.42,0.0168983,0.000168983,7524
2410.31,0.0168858,0.000168858,7525
2411.2,0.0168734,0.000168734,7526
2412.09,0.016861,0.00016861,7527
2412.97,0.0168487,0.000168487,7528
2413.85,0.0168364,0.000168364,7529
2414.72,0.0168242,0.000168242,7530
2415.6,0.016812,0.00016812,7531
2416.47,0.0167999,0.000167999,7532
2417.34,0.0167878,0.000167878,7533
2418.21,0.0167758,0.000167758,7534
2419.07,0.0167638,0.000167638,7535
2419.93,0.0167518,0.000167518,7536
2420.79,0.01674,0.0001674,7537
2421.65,0.0167281,0.000167281,7538
2422.5,0.0167163,0.000167163,7539
2423.35,0.0167046,0.000167046,7540
2424.2,0.0166929,0.000166929,7541
2425.05,0.0166813,0.000166813,7542
2425.89,0.0166697,0.000166697,7543
2426.73,0.0166581,0.000166581,7544
2427.57,0.0166466,0.000166466,7545
2428.4,0.0166352,0.000166352,7546
2429.23,0.0166238,0.000166238,7547
2430.06,0.0166125,0.000166125,7548
2430.89,0.0166012,0.000166012,7549
2431.71,0.0165899,0.000165899,7550
2432.54,0.0165787,0.000165787,7551
2433.36,0.0165675,0.000165675,7552
2434.17,0.0165564,0.000165564,7553
2434.99,0.0165454,0.000165454,7554
2435.8,0.0165344,0.000165344,7555
2436.6,0.0165234,0.000165234,7556
2437.41,0.0165125,0.000165125,7557
2438.21,0.0165016,0.000165016,7558
2439.01,0.0164908,0.000164908,7559
2439.81,0.01648,0.0001648,7560
2440.6,0.0164693,0.000164693,7561
2441.4,0.0164586,0.000164586,7562
2442.19,0.0164479,0.000164479,7563
2442.97,0.0164374,0.000164374,7564
2443.76,0.0164268,0.000164268,7565
2444.54,0.0164163,0.000164163,7566
2445.32,0.0164059,0.000164059,7567
2446.09,0.0163955,0.000163955,7568
2446.86,0.0163851,0.000163851,7569
2447.64,0.0163748,0.000163748,7570
2448.4,0.0163645,0.000163645,7571
2449.17,0.0163543,0.000163543,7572
2449.93,0.0163441,0.000163441,7573
2450.69,0.016334,0.00016334,7574
2451.45,0.0163239,0.000163239,7575
2452.2,0.0163139,0.000163139,7576
2452.95,0.0163039,0.000163039,7577
2453.7,0.016294,0.00016294,7578
2454.44,0.0162841,0.000162841,7579
2455.19,0.0162742,0.000162742,7580
2455.93,0.0162644,0.000162644,7581
2456.66,0.0162546,0.000162546,7582
2457.4,0.0162449,0.000162449,7583
2458.13,0.0162353,0.000162353,7584
2458.86,0.0162256,0.000162256,7585
2459.59,0.016216,0.00016216,7586
2460.31,0.0162065,0.000162065,7587
2461.03,0.016197,0.00016197,7588
2461.75,0.0161876,0.000161876,7589
2462.46,0.0161782,0.000161782,7590
2463.18,0.0161688,0.000161688,7591
2463.88,0.0161595,0.000161595,7592
2464.59,0.0161502,0.000161502,7593
2465.3,0.016141,0.00016141,7594
2466,0.0161318,0.000161318,7595
2466.7,0.0161227,0.000161227,7596
2467.39,0.0161136,0.000161136,7597
2468.08,0.0161046,0.000161046,7598
2468.77,0.0160956,0.000160956,7599
2469.46,0.0160866,0.000160866,7600
2470.15,0.0160777,0.000160777,7601
2470.83,0.0160688,0.000160688,7602
2471.51,0.01606,0.0001606,7603
2472.18,0.0160512,0.000160512,7604
2472.85,0.0160425,0.000160425,7605
2473.53,0.0160338,0.000160338,7606
2474.19,0.0160251,0.000160251,7607
2474.86,0.0160165,0.000160165,7608
2475.52,0.016008,0.00016008,7609
2476.18,0.0159995,0.000159995,7610
2476.83,0.015991,0.00015991,7611
2477.49,0.0159825,0.000159825,7612
2478.14,0.0159741,0.000159741,7613
2478.79,0.0159658,0.000159658,7614
2479.43,0.0159575,0.000159575,7615
2480.07,0.0159492,0.000159492,7616
2480.71,0.015941,0.00015941,7617
2481.35,0.0159328,0.000159328,7618
2481.98,0.0159247,0.000159247,7619
2482.61,0.0159166,0.000159166,7620
2483.24,0.0159086,0.000159086,7621
2483.87,0.0159006,0.000159006,7622
2484.49,0.0158926,0.000158926,7623
2485.11,0.0158847,0.000158847,7624
2485.72,0.0158768,0.000158768,7625
2486.34,0.015869,0.00015869,7626
2486.95,0.0158612,0.000158612,7627
2487.56,0.0158534,0.000158534,7628
2488.16,0.0158457,0.000158457,7629
2488.76,0.015838,0.00015838,7630
2489.36,0.0158304,0.000158304,7631
2489.96,0.0158228,0.000158228,7632
2490.55,0.0158153,0.000158153,7633
2491.14,0.0158078,0.000158078,7634
2491.73,0.0158003,0.000158003,7635
2492.32,0.0157929,0.000157929,7636
2492.9,0.0157855,0.000157855,7637
2493.48,0.0157782,0.000157782,7638
2494.06,0.0157709,0.000157709,7639
2494.63,0.0157637,0.000157637,7640
2495.2,0.0157565,0.000157565,7641
2495.77,0.0157493,0.000157493,7642
2496.33,0.0157422,0.000157422,7643
2496.89,0.0157351,0.000157351,7644
2497.45,0.015728,0.00015728,7645
2498.01,0.015721,0.00015721,7646
2498.56,0.0157141,0.000157141,7647
2499.11,0.0157071,0.000157071,7648
2499.66,0.0157003,0.000157003,7649
2500.21,0.0156934,0.000156934,7650
2500.75,0.0156866,0.000156866,7651
2501.29,0.0156799,0.000156799,7652
2501.82,0.0156731,0.000156731,7653
2502.36,0.0156665,0.000156665,7654
2502.89,0.0156598,0.000156598,7655
2503.41,0.0156532,0.000156532,7656
2503.94,0.0156467,0.000156467,7657
2504.46,0.0156402,0.000156402,7658
2504.98,0.0156337,0.000156337,7659
2505.49,0.0156273,0.000156273,7660
2506.01,0.0156209,0.000156209,7661
2506.52,0.0156145,0.000156145,7662
2507.02,0.0156082,0.000156082,7663
2507.53,0.0156019,0.000156019,7664
2508.03,0.0155957,0.000155957,7665
2508.53,0.0155895,0.000155895,7666
2509.02,0.0155833,0.000155833,7667
2509.51,0.0155772,0.000155772,7668
2510,0.0155712,0.000155712,7669
2510.49,0.0155651,0.000155651,7670
2510.97,0.0155591,0.000155591,7671
2511.45,0.0155532,0.000155532,7672
2511.93,0.0155473,0.000155473,7673
2512.41,0.0155414,0.000155414,7674
2512.88,0.0155355,0.000155355,7675
2513.35,0.0155297,0.000155297,7676
2513.81,0.015524,0.00015524,7677
2514.28,0.0155183,0.000155183,7678
2514.74,0.0155126,0.000155126,7679
2515.19,0.015507,0.00015507,7680
2515.65,0.0155014,0.000155014,7681
2516.1,0.0154958,0.000154958,7682
2516.55,0.0154903,0.000154903,7683
2516.99,0.0154848,0.000154848,7684
2517.43,0.0154794,0.000154794,7685
2517.87,0.015474,0.00015474,7686
2518.31,0.0154686,0.000154686,7687
2518.74,0.0154633,0.000154633,7688
2519.17,0.015458,0.00015458,7689
2519.6,0.0154527,0.000154527,7690
2520.03,0.0154475,0.000154475,7691
2520.45,0.0154423,0.000154423,7692
2520.87,0.0154372,0.000154372,7693
2521.28,0.0154321,0.000154321,7694
2521.7,0.0154271,0.000154271,7695
2522.11,0.0154221,0.000154221,7696
2522.51,0.0154171,0.000154171,7697
2522.92,0.0154121,0.000154121,7698
2523.32,0.0154072,0.000154072,7699
2523.72,0.0154024,0.000154024,7700
2524.11,0.0153976,0.000153976,7701
2524.5,0.0153928,0.000153928,7702
2524.89,0.015388,0.00015388,7703
2525.28,0.0153833,0.000153833,7704
2525.66,0.0153786,0.000153786,7705
2526.04,0.015374,0.00015374,7706
2526.42,0.0153694,0.000153694,7707
2526.8,0.0153649,0.000153649,7708
2527.17,0.0153603,0.000153603,7709
2527.54,0.0153559,0.000153559,7710
2527.9,0.0153514,0.000153514,7711
2528.26,0.015347,0.00015347,7712
2528.62,0.0153427,0.000153427,7713
2528.98,0.0153383,0.000153383,7714
2529.33,0.015334,0.00015334,7715
2529.68,0.0153298,0.000153298,7716
2530.03,0.0153256,0.000153256,7717
2530.38,0.0153214,0.000153214,7718
2530.72,0.0153173,0.000153173,7719
2531.06,0.0153132,0.000153132,7720
2531.39,0.0153091,0.000153091,7721
2531.73,0.0153051,0.000153051,7722
2532.06,0.0153011,0.000153011,7723
2532.38,0.0152971,0.000152971,7724
2532.71,0.0152932,0.000152932,7725
2533.03,0.0152894,0.000152894,7726
2533.35,0.0152855,0.000152855,7727
2533.66,0.0152817,0.000152817,7728
2533.97,0.0152779,0.000152779,7729
2534.28,0.0152742,0.000152742,7730
2534.59,0.0152705,0.000152705,7731
2534.89,0.0152669,0.000152669,7732
2535.19,0.0152633,0.000152633,7733
2535.49,0.0152597,0.000152597,7734
2535.78,0.0152562,0.000152562,7735
2536.07,0.0152527,0.000152527,7736
2536.36,0.0152492,0.000152492,7737
2536.65,0.0152458,0.000152458,7738
2536.93,0.0152424,0.000152424,7739
2537.21,0.015239,0.00015239,7740
2537.48,0.0152357,0.000152357,7741
2537.76,0.0152324,0.000152324,7742
2538.03,0.0152292,0.000152292,7743
2538.29,0.015226,0.00015226,7744
2538.56,0.0152228,0.000152228,7745
2538.82,0.0152197,0.000152197,7746
2539.08,0.0152166,0.000152166,7747
2539.33,0.0152135,0.000152135,7748
2539.58,0.0152105,0.000152105,7749
2539.83,0.0152075,0.000152075,7750
2540.08,0.0152046,0.000152046,7751
2540.32,0.0152017,0.000152017,7752
2540.56,0.0151988,0.000151988,7753
2540.8,0.015196,0.00015196,7754
2541.03,0.0151932,0.000151932,7755
2541.26,0.0151904,0.000151904,7756
