distance,acceleration_a,acceleration_b
412.454,4.92513,0.00576658
378.605,5.84516,0.00684379
345.33,7.02585,0.0082262
313.505,8.5247,0.00998113
284.496,10.3518,0.0121204
260.307,12.365,0.0144776
243.509,14.1298,0.0165439
236.608,14.9661,0.017523
240.86,14.4424,0.0169099
255.473,12.8375,0.0150307
278.126,10.8314,0.0126819
306.181,8.93743,0.0104644
337.474,7.35679,0.00861368
370.494,6.10387,0.00714671
404.265,5.12669,0.00600257
438.174,4.3639,0.00510946
471.849,3.76324,0.00440618
505.063,3.28457,0.00384573
537.68,2.89815,0.00339329
569.626,2.58219,0.00302335
600.861,2.32071,0.0027172
631.368,2.10186,0.00246096
661.145,1.91679,0.00224427
690.2,1.75881,0.0020593
718.546,1.62278,0.00190003
746.198,1.50474,0.00176182
773.175,1.40156,0.00164102
799.497,1.3108,0.00153474
825.182,1.23047,0.00144069
850.249,1.15898,0.00135699
874.718,1.09505,0.00128213
898.607,1.0376,0.00121487
921.932,0.985759,0.00115417
944.711,0.938795,0.00109919
966.959,0.896092,0.00104919
988.692,0.85713,0.00100357
1009.92,0.82147,0.000961816
1030.67,0.788735,0.000923488
1050.94,0.758603,0.000888209
1070.75,0.730796,0.000855651
1090.1,0.705073,0.000825533
1109.02,0.681225,0.00079761
1127.51,0.659067,0.000771667
1145.58,0.63844,0.000747516
1163.24,0.619203,0.000724992
1180.49,0.60123,0.000703949
1197.36,0.584411,0.000684257
1213.84,0.568648,0.0006658
1229.95,0.553853,0.000648478
1245.69,0.539948,0.000632197
1261.06,0.526863,0.000616876
1276.08,0.514534,0.000602441
1290.75,0.502905,0.000588825
1305.07,0.491924,0.000575968
1319.06,0.481545,0.000563816
1332.72,0.471726,0.000552319
1346.05,0.462429,0.000541434
1359.06,0.453618,0.000531118
1371.75,0.445263,0.000521335
1384.13,0.437333,0.00051205
1396.21,0.429803,0.000503234
1407.98,0.422648,0.000494856
1419.44,0.415845,0.000486891
1430.62,0.409375,0.000479315
1441.5,0.403218,0.000472106
1452.09,0.397356,0.000465243
1462.4,0.391774,0.000458708
1472.43,0.386457,0.000452483
1482.17,0.381391,0.000446551
1491.64,0.376564,0.000440899
1500.84,0.371962,0.000435511
1509.77,0.367576,0.000430376
1518.43,0.363396,0.000425481
1526.82,0.359411,0.000420815
1534.95,0.355613,0.000416369
1542.83,0.351994,0.000412131
1550.44,0.348546,0.000408094
1557.79,0.345262,0.000404249
1564.89,0.342136,0.000400589
1571.74,0.339161,0.000397105
